full_code,soc_4,soc_sub,title,description
3422/01,3422,01,Clothing and fashion consultants,"Clothing and fashion consultants advise customers and clients in making fashion decisions. They make recommendations on individual pieces, entire outfits, colour palettes, styles and fabrics."
3422/02,3422,02,Clothing and fashion designers,"Clothing and fashion designers work on designs for the haute couture and/or ready-to-wear, high street fashion markets and more generally on items of clothing and fashion ranges. They create concepts and make sketches by hand or using software. They analyse and interpret fashion trends to propose new ideas."
3422/03,3422,03,Footwear designers,Footwear designers visualise and design new footwear products and keep up-to-date with emerging trends.  They create footwear concepts and build collection lines and make footwear prototypes for promotional presentations.
3422/04,3422,04,Jewellery designers,"Jewellery designers use a variety of materials, including gold, silver and precious stones to design and plan pieces of jewellery that have a decorative purpose. "
3422/05,3422,05,Textile designers,"Textile designers create designs for knitted, printed and woven textiles. They research design trends, produce sketches by hand or on a computer, using design software and make up samples for the customer."
3422/99,3422,99,"Clothing, fashion and accessories designers n.e.c.","Job holders in this group perform occupations not elsewhere classified in Unit Group 3422: Clothing, fashion and accessories designers "
3429/01,3429,01,Industrial and product designers,Industrial and product designers work out ideas and develop them into designs and concepts for a wide variety of manufactured products. They create new products and improve existing ones.
3429/02,3429,02,Packaging designers,Packaging designers design and develop packaging for different products.
3429/03,3429,03,Performance make-up artists,"Performance make-up artists assist and support artists before, during and after the performance and filming of movies or television programs to ensure the make-up is in line with the artistic vision of the director and the artistic team. They create images and characters through make-up and prosthetics. They maintain, check and repair prosthetics and assist with quick changes. See also 6222/02 - Make-up artists (excludes performance make-up)"
3429/04,3429,04,Set designers,"Set designers develop set concepts for performances and supervise the execution of it. They design and create the settings for commercials, television, theatre and films."
3429/05,3429,05,Visual merchandising managers and designers,"Visual merchandising managers and designers design visual merchandising with a clear vision of customers’ needs and a have deep understand of visual merchandising and latest brand thinking. They design and develop bespoke themes and translate this understanding into highly visual points of interest. See also 7125/02 - Visual merchandisers and window dressers.

"
3429/99,3429,99,Design occupations n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 3429: Design occupations n.e.c.
3431/00,3431,00,Sports players,"Professional sportsmen and women train and compete, either individually or as part of a team, in their chosen sport for financial gain."
3432/01,3432,01,Basketball coaches,"Basketball coaches prepare players to perform in competitive arenas such as university league games, and professional basketball leagues. Basketball coaches instruct players during practice and games."
3432/02,3432,02,Cricket coaches,Cricket coaches prepare players to perform in competitive cricket games and improve the technique and skills of players through nets and drills. 
3432/03,3432,03,Football coaches,"Football coaches prepare players to perform in competitive football games. They develop and execute training plans and improve or maintain their players physical condition, football technique and tactical abilities. "
3432/04,3432,04,Forest school practitioners,Forest school practitioners run educational and outdoor play activities for children between ages 3-7 in woodlands and outdoor spaces
3432/05,3432,05,Golf coaches,Golf coaches train and teach golf to individuals or groups. They train their clients by demonstrating and explaining techniques such as the correct posture and swinging techniques and what equipment is best suited for the student.
3432/06,3432,06,Gymnastics coaches,"Gymnastics coaches organise, promote and deliver a varied programme of coaching suitable for the target audience, involving the set up and dismantling of equipment and ensuring participants’ safety and wellbeing throughout the session."
3432/07,3432,07,Horse riding instructors,"Horse-riding instructors advise and guide individuals and groups on riding horses. They conduct lessons and teach the techniques of horse-riding including stopping, making turns, show-riding and jumping. "
3432/08,3432,08,Martial arts instructors,"Martial arts instructors teach martial arts like karate, jujitsu and judo."
3432/09,3432,09,Outdoor pursuits instructors,"Outdoor pursuits instructors, lead trips and teach skills in activities like hill walking, climbing, canoeing, skiing and snowboarding."
3432/10,3432,10,"Referees, umpires and other sports officials","Referees, umpires and other sports officials preside over competitive athletic or sporting events to help maintain standards of play. They detect infractions and decide penalties according to the rules of the game."
3432/11,3432,11,Rugby coaches,Rugby coaches help players develop rugby skills through structured and planned training sessions
3432/12,3432,12,Sailing instructors,"Sailing instructors teach people to sail yachts and boats. They prepare and present lessons, teach safety on dry land and drills on water, demonstrate boat handling and sailing techniques and assess students' abilities."
3432/13,3432,13,Ski instructors,"Ski instructors teach individuals or groups to ski and advanced skiing techniques. They advise their students on the choice of equipment, instruct skiers in alpine safety rules and plan and prepare ski instruction. Ski instructors demonstrate exercises and techniques during ski lessons and give feedback to their students on how to improve their level."
3432/14,3432,14,Sports development officers,Sports development officers organise projects and training to encourage people to take part in sport and have a healthier lifestyle.
3432/15,3432,15,Swimming coaches,"Swimming teachers train and advise groups or individuals on swimming. They plan trainings and teach different swimming styles such as front crawl, breaststroke and butterfly. "
3432/16,3432,16,Tennis coaches,"Tennis coaches advise and guide individuals and groups on playing tennis. They conduct lessons and teach the rules and techniques of the sport such as grips, strokes and serves. "
3432/99,3432,99,"Sports coaches, instructors and officials n.e.c.","Job holders in this group perform occupations not elsewhere classified in Unit Group 3432: Sports coaches, instructors and officials"
3433/01,3433,01,Group fitness instructors and personal trainers,"Group fitness instructors and personal trainers build fitness participation of new and existing members through fitness programmes that meet their needs. They deliver fitness instruction to individuals, with the use of equipment, or to a group, through fitness classes. Personal trainers design, implement and evaluate exercise or physical activity programmes for one or more individual clients by collecting and analysing client information. "
3433/02,3433,02,Pilates teachers,"Pilates instructors helps people improve their physical health through a series of movement exercises, using body work done on mats and specially designed apparatus"
3433/03,3433,03,Yoga teachers,"Yoga teachers conduct classes with groups of people which involves meditation and yoga poses. They guide students to ""connect to breath"" while conducting a series of physical and mental exercises."
3433/99,3433,99,Fitness and wellbeing instructors n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 3433: Fitness and wellbeing instructors 
3511/01,3511,01,Airline pilots,"Airline pilots fly aircrafts to transport passengers, mail, or freight on long or short-haul flights for leisure, business or commercial purposes. They have the overall responsibility for the safe and efficient operation of aircrafts and the safety of crew and passengers."
3511/02,3511,02,Air traffic controllers,"Air traffic controllers assist pilots by providing information concerning the height, speed and course or the aircraft. They control air traffic in and within the vicinity of airports according to established procedures and policies to prevent collisions and to minimise delays arising from traffic congestion."
3511/03,3511,03,Flying instructors,Flying instructors train both new and experienced pilots seeking to gain licences or experience in flying new aircraft or how to properly operate an aircraft according to regulations. They teach their students both the theory and practice of how to optimally fly and maintain an airplane. They observe and evaluate student technique. They also focus on the regulations relating to operational and safety procedures specific to different aircraft.
3511/04,3511,04,Helicopter pilots,Helicopter pilots fly helicopters to transport passengers and cargo from one place to another. They plan flights using aeronautical charts and navigation instruments. 
3511/99,3511,99,Aircraft pilots and air traffic controllers n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 3511: Aircraft pilots and air traffic controllers 
3512/01,3512,01,Ship and hovercraft captains and deck officers (excludes armed forces and fishing),"Ship and hovercraft captains and deck officers are in charge of a vessel for the transportation of goods and passengers, operating in offshore and coastal waters. They are responsible for the safety and wellbeing of the clients and crew, and supervise crew members engaged in maintenance and the primary upkeep of the vessel."
3512/02,3512,02,Marine engineers,"Marine engineers design, build, test and repair boats, ships, underwater craft, offshore platforms and drilling equipment. They ensure that engines, instruments and systems work safely."
3512/99,3512,99,Ship and hovercraft officers n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 3512: Ship and hovercraft officers 
3520/01,3520,01,Conveyancing professionals,"Conveyancing professionals are legal associate professionals who may be responsible for overseeing, or assisting solicitors in dealing with property transactions,  "
3520/02,3520,02,Cost lawyers,"Cost lawyers ensure that a business relationship between a lawyer and their client is properly established, so that any legal costs incurred can be charged appropriately. "
3520/03,3520,03,Barrister's and judge's clerks,Barrister's and judge's clerks provide assistance to judges in courts. They handle enquiries on court proceedings and assist judges in various tasks such as performing legal research in preparation of cases or writing opinion pieces. They also contact parties involved in cases and brief judges and other court officials.
3520/04,3520,04,Litigation officers,Litigation officers specialise in the resolution of disputes between individuals and/or organisations and are responsible for representing claimants or defendants throughout dispute hearings.
3520/05,3520,05,Probate managers,"Probate managers deal with the legal and financial process of property, money and possessions of a person who has died. "
3520/06,3520,06,Will writers,"Will writers help clients with what a will says, where they want assets to go, and advise on what needs to happen to ensure their will is put into effect after an persons death."
3520/99,3520,99,Legal associate professionals n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 3520: Legal associate professionals 
3531/01,3531,01,Commodity brokers and traders,"Commodity brokers and traders act as a mediator between buyers and sellers of movable and immovable property such as raw materials, livestock or real estate. They use negotiation techniques to sell and buy physical goods and raw materials such as currency, gold, cattle, oil, cotton and wheat on the trading floor. "
3531/02,3531,02,Insurance and mortgage brokers,Insurance and mortgage brokers act as an intermediary between clients and insurance companies and mortgage lenders. They will offer products to ensure that clients get the best deal
3531/03,3531,03,Shipbrokers,"Shipbrokers act as a mediator between buyers and sellers of ships, cargo space on ships and charter ships for the transfer of cargo. They negotiate the cost of the vessels, cargo space or cargo and the logistical requirements for the transfer of the vessel or commodity cargo to the buyers."
3531/04,3531,04,Stockbrokers,Stockbrokers act on behalf of their individual or institutional clients to buy and sell stocks and other securities. Stockbrokers undertake analysis to make recommendations to their clients and expand their client base through various methods.
3531/99,3531,99,Brokers n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 3531: Brokers 
3532/00,3532,00,Insurance underwriters,"Insurance underwriters identify and measure the risks associated with an activity, determine whether this risk is insurable and issue insurance policies which provide financial compensation in the event of loss."
3533/01,3533,01,Accounting technicians,Accounting technicians handle day-to-day financial matters in all types of business.
3533/02,3533,02,Financial control technicians,Financial control technicians handle day-to-day budgeting and accounting matters specifically for a company or organisation.
3533/99,3533,99,Financial and accounting technicians n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 3533: Financial and accounting technicians 
3534/01,3534,01,Claims managers,"Claims managers oversee the processing of insurance claims to ensure the procedure is handled efficiently, accurately, and in a manner that protects the interests of the insured parties while also providing satisfactory customer service. They often serve as a liaison between clients, adjusters, service providers, and other parties who may be involved in a claim or an incident related to it."
3534/02,3534,02,Credit managers,"Credit control managers control the amount of finance offered by their company and manage the debts owed to it. They check customer credit ratings with banks and credit reference agencies, decide whether to offer credit, set up terms of credit and make sure the customer pays on time, manage a team of credit controllers or accounting technicians."
3534/03,3534,03,Investment managers,"Investment managers provide financial advice and services to private and corporate clients about a range of investment matters, including buying and selling investment trusts and shares or bonds, to help these clients invest their money in the best places."
3534/04,3534,04,Relationship managers ,"Relationship managers maintains existing and develop new relationships with partner firms and customers for a financial service and insurance companies, and banks. They act as point of contact for clients to answer any questions on financial services and provide advice."
3534/99,3534,99,Financial accounts managers n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 3534: Financial accounts managers 
3541/01,3541,01,Energy advisers and assessors,"Energy advisers and assessors determine the energy performance of properties and give advice and information on energy efficiency, water heating and consumption, renewable energy and low carbon transportation options."
3541/02,3541,02,Estimators ,"Estimators draw up assessments of how much it will cost to provide clients with products or services. They may research materials, equipment, transport and labour costs, collect quotes from materials suppliers and sub-contractors and prepare and submit quotations and cost summaries for work."
3541/03,3541,03,Loss adjusters,"Loss adjusters visit sites of major insurance claims, such as a fire or flood in a home or business premises. Their job is to investigate insurance claims on behalf of the insurer, visiting the property in order as soon as possible after a claim is logged to obtain all the necessary facts."
3541/04,3541,04,Valuers,"Valuers determine the value of items or properties for sales, mortgage and insurance purposes. They make an inventory of fixtures, compose a schedule of condition of property and prepare reports for both commercial and residential properties."
3541/05,3541,05,Vehicle damage assessors,Vehicle damage assessors inspect and assess all elements of a motor vehicle that has sustained damage and requires repair.
3541/99,3541,99,"Estimators, valuers and assessors n.e.c.","Job holders in this group perform occupations not elsewhere classified in Unit Group 3541: Estimators, valuers and assessors "
3542/00,3542,00,Importers and exporters,Importers and exporters buy commodities from overseas for the home market and sell home-produced commodities to overseas markets.
3543/00,3543,00,Project support officers,"Project support officers assist in the organisation, planning, monitoring and direction of a project and ensure it is adequately resourced and on schedule."
3544/00,3544,00,Data analysts ,Data analysts gather and organise a variety of data and analyse it to understand what it means for their organisation or society.
3549/01,3549,01,Business support officers ,Business support officers provide administrative support to departments and functions within an organisation.
3549/02,3549,02,Business systems analysts,"Business systems analysts review an organisation’s information technology infrastructure and identify areas for improvement, such as communication methods, technology, IT tools, new standards and certifications. "
3549/03,3549,03,Contract administrators,"Contract administrators oversee the creation, negotiation, signing and upholding of contracts within an organisation. "
3549/04,3549,04,Clinical coders,"Clinical coders record clinical information about patients and translates this information into codes based on national and international standards. Their primary duties include assessing patient’s clinical statements, assigning standard codes and resolving coding queries."
3549/05,3549,05,Clinical trials administrators,"Clinical trials administrators assist the clinical research teams with the general administrative requirements associated with study set up, the running and closing of a clinical trial including data collection and data entry maintenance of essential documents."
3549/06,3549,06,Research coordinators,"Research coordinators coordinate the design, monitoring, and data collection for research studies and clinical trials."
3549/99,3549,99,Business associate professionals n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 3549: Business associate professionals n.e.c.
3551/00,3551,00,Buyers and procurement officers,"Buyers and procurement officers organise and undertake the buying of raw materials, equipment and merchandise from manufacturers, importers, wholesalers and other sources for distribution, resale or for own internal use."
3552/00,3552,00,Business sales executives,"Business sales executives provide advice to existing and potential customers, and receive orders for specialist machinery, equipment, materials and other products or services that require technical knowledge."
3553/00,3553,00,Merchandisers,"Merchandisers ensure that stores are supplied with goods, liaise with suppliers, decide on pricing and promotions and advise retailers on the optimum display of merchandise."
3554/01,3554,01,Advertising and marketing executives,"Advertising and marketing executives advise companies in the development of marketing and advertising strategies for the entry of a brand in the market, for the re-launch of a product, for the introduction of a new product or for the positioning of a commercial image. They perform previous studies of the position of the company and perception of customers to define the marketing and advertising approach."
3554/02,3554,02,Fundraisers,"Fundraisers organise activities to raise funds and gather monetary donations or other gifts for an organisation. They design and produce promotional materials. They may raise awareness of the organisation's work, goals and financial needs."
3554/03,3554,03,Market researchers (excludes interviewers),"Market researchers collect and analyse data and information to help their clients make informed political, social and economic decisions. specialise in collecting, analysing and presenting either quantitative or qualitative research. See also 7214/01 - Field and telephone interviewers"
3554/99,3554,99,Marketing associate professionals n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 3554: Marketing associate professionals 
3555/01,3555,01,Estate agents  ,"Estate agents are responsible for assisting clients with purchasing, selling, and renting residential and commercial properties. Their duties include managing property searches, preparing contracts, scheduling viewings, creating listings, and communicating between parties."
3555/02,3555,02,Land and property auctioneers and valuers,"Land and property auctioneers give advice to people buying, selling and renting land or property. They estimate the market value of land, buildings and commercial property, research and write detailed reports for clients about their assets and organise auction sales."
3555/03,3555,03,Letting agents,"Letting agents manage all aspects of letting a property, including the services offered under tenant find and rent collection. They will correspond with the tenant throughout the tenancy, organising maintenance, inspections, check-in, check-out and any deposit disputes."
3555/99,3555,99,Estate agents and auctioneers n.e.c,Job holders in this group perform occupations not elsewhere classified in Unit Group 3555: Estate agents and auctioneers
3556/01,3556,01,Brand managers,"Brand managers are responsible for adapting a brand strategy for a company's target market, including the setting of style guides, brand guidelines, brand vision and value proposition"
3556/02,3556,02,Business development managers,Business development managers find new customers and persuade existing ones to buy extra services.
3556/03,3556,03,Sales account managers,"Sales account managers oversees sales activities and develop relationships with customers. They are responsible for managing accounts, ensuring clients are satisfied, and generate new sales opportunities. "
3556/99,3556,99,Sales accounts and business development managers n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 3556: Sales accounts and business development managers 
3557/01,3557,01,Conference managers and organisers,"Conference managers and organisers run and manage conferences for corporate firms, academics and researchers. They deal with every element of the conference organising process, liaising with suppliers to ensure the smooth running of an event. They work with clients on an individual basis to understand the desired outcomes and goals to ensure optimal success."
3557/02,3557,02,Exhibition managers and organisers,Exhibition managers and organisers are in charge of showcasing exhibition events on behalf of an institution or organisation. They oversee exhibition events from the initial planning process to receiving shipments and setting out items for display.
3557/03,3557,03,Festival managers and organisers,"Festival managers are responsible for the co-ordination of the festival programme, ensuring logistics and requirements are managed effectively and that festivals run smoothly."
3557/04,3557,04,Hospitality managers,Hospitality managers are responsible for managing hospitality staff and ensuring that the day-to-day operations of the company's hospitality department run smoothly. 
3557/05,3557,05,Wedding planners and organisers,"Wedding planners and organisers assist with all logistical details required concerning their client's wedding ceremony. They make arrangements for floral decorations, wedding venue, catering, guest invitations, etc. They coordinate activities both before and during the wedding."
3557/99,3557,99,Event managers and organisers n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 3557: Event managers and organisers 
3560/01,3560,01,Electoral services officers,"Electoral services officers assist in the compilation, maintenance and publication of the Register of Electors under Individual Electoral Registration and undertake other administrative duties including the annual audit of the register. "
3560/02,3560,02,Health service administrators,Health service administrators oversee the day-to-day administrative operations of hospitals and other healthcare facilities. 
3560/03,3560,03,Job Centre officers,"Job centre officers help people with difficulties finding a job and long-term unemployed people. They provide guidance in the creation of CVs, searching for job openings, contacting employers and the preparation for job interviews."
3560/04,3560,04,Waste management officers,"Waste management officers organise and manage waste disposal, collection and recycling facilities. They may be responsible for waste treatment and street cleaning operations."
3560/99,3560,99,Public services associate professionals n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 3560: Public services associate professionals 
3571/01,3571,01,Equality and diversity officers,Equality and diversity officers promote practices and attitudes to make sure all people are treated equally within organisations.
3571/02,3571,02,Human resources advisers,"Human resources advisors develop and implement strategies that help their employers select and retain appropriately qualified staff within that business sector. They recruit staff, prepare job advertisements, interview and short-list people, negotiate with employment agencies and implement working conditions. "
3571/03,3571,03,Recruitment consultants,"Recruitment consultants provide the suitable candidates to employers according to the specific job profile requested. They perform testing and interviewing with clients, shortlist candidates to present to the employers and match clients to appropriate jobs. "
3571/99,3571,99,Human resources and industrial relations officers n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 3571: Human resources and industrial relations officers
3572/01,3572,01,Careers advisers and coaches,"Careers advisers and coaches provide guidance and advice to adults and students on making educational, training and occupational choices. They assist people in managing their careers, through career planning and career exploration. "
3572/02,3572,02,Work placement officers,Work placement officers usually work in colleges and universities where they assist students and coordinate with the students and local employers for work placements. 
3572/99,3572,99,Careers advisers and vocational guidance specialists n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 3572: Careers advisers and vocational guidance specialists
3573/00,3573,00,Information technology trainers,"Information technology trainers provide instruction in the use of computers for professional and personal purposes and advise on, plan and organise IT training within industrial, commercial and other establishments."
3574/01,3574,01,Business coaches,"Business coaches guide employees of a company or other institution to improve their personal effectiveness, increase their job satisfaction and positively impact their career development in the business setting. They do this by leading the person who is being coached to resolve their challenges."
3574/02,3574,02,Retail and store trainers,"Retail and store trainers guide store employees through the training process to help them become comfortable with performing customer service, sales and other required tasks. "
3574/03,3574,03,Training assessors,"Training assessors plan and deliver training, usually for vocational training programmes and workshops. They assess learners’ performance and related knowledge in a range of tasks and ensure that the competence and/or knowledge demonstrated helps the trainee meet standards."
3574/99,3574,99,Other vocational and industrial trainers n.e.c.,"Job holders in this group perform occupations not elsewhere classified in Unit Group 3574: Other vocational and industrial trainers 
"
3581/01,3581,01,Animal health inspectors and officers,"Animal health inspectors enforce current legislation in respect of animal welfare. They visit livestock markets and farms and assist in the control and eradication of notifiable animal diseases. They investigate complaints about animal cruelty, rescue animals and give advice to animal owners."
3581/02,3581,02,Building control officers,"Building control officers make sure building regulations are followed. They suggest ways to make building projects more cost effective, carry out site inspections, write inspection reports and issue completion certificates and survey unsafe buildings, giving advice or approving their demolition"
3581/03,3581,03,Driving examiners,Driving examiners test people’s skills at driving a vehicle. They test whether a person is a safe and competent driver to obtain their full driving licence.
3581/04,3581,04,Health and safety inspectors,"Health and safety inspectors ensure employers comply with all aspects of health and safety laws. Responsibilities include but are not limited to investigating accidents and complaints to determine if there has been a breach of health and safety law, ensure workers are provided with suitable protective equipment, such as eye goggles, ear protectors, gloves and other clothing and carry out examinations of machinery, working environments and structures, take measurements of noise, heat, and vibrations, and take photographs and samples where necessary."
3581/05,3581,05,Housing and planning inspectors,"Housing and planning inspectors inspect accommodation and provide advice and guidance in relation to compliance with the relevant legislation or existing or proposed use of dwellings. 

Planning inspectors deal with planning appeals, national infrastructure planning applications, examinations of local plans and other planning-related and specialist casework."
3581/06,3581,06,Licensing officers,Licensing officers process licence applications and provide advice on licensing legislation. They inspect licensed facilities and perform investigative duties to ensure applicants are eligible for the requested licence.
3581/07,3581,07,Meat hygiene inspectors,Meat hygiene inspectors make sure food processing plants and slaughterhouses follow safety and hygiene standards.
3581/08,3581,08,Nuclear safety inspectors,Nuclear safety inspectors ensure regulatory compliance and improvement in safety standards on nuclear sites. They inspect sites and assess complex system designs through to investigating incidents and enforcing the law.
3581/09,3581,09,Trading standards officers,"Trading standards officers (TSOs) protect consumers and businesses by promoting a safe and fair trading environment. They do routine checks or investigate complaints on local traders and businesses, take samples of goods for testing, check the accuracy of weighing scales and measures and make sure labelling is correct and advertising is not misleading."
3581/10,3581,10,Traffic and vehicle examiners and inspectors,Traffic and vehicle examiners and inspectors check vehicles comply with road safety rules and regulations and visit operator premises to conduct investigations and provide education and advice. They protect the public from unsafe vehicles and drivers through roadside enforcement activities. They approve driving instructors and MOT testers. 
3581/99,3581,99,Inspectors of standards and regulations n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 3581: Inspectors of standards and regulations
3582/01,3582,01,Asbestos safety officers,Asbestos safety officers inspect buildings and collect samples to determine the presence of asbestos. They carry out tests and may recommend professional removal of dangerous materials before renovations or demolitions are carried out.
3582/02,3582,02,Fire safety managers and officers,"Fire safety managers and officers conduct inspections of buildings and properties to ensure they are compliant with fire prevention and safety regulations and enforce the regulations in facilities which are not compliant. They also perform educational activities, educating the public on fire safety and prevention methods, policies and disaster response."
3582/03,3582,03,Occupational health and safety managers and officers,"Occupational health and safety managers and officers ensure compliance with responsibilities imposed by health and safety legislation, whilst maximising and promoting the health of all employees, as well as reducing the risk of cases of occupational ill health developing. "
3582/04,3582,04,Road traffic and transport safety officers,"Road traffic and transport safety managers make decisions on how best to control traffic management. This could include situations such as traffic incidents, planned roadworks, large events or construction projects."
3582/05,3582,05,Occupational hygienists ,"Occupational hygienists identify, assess and control health hazards in the workplace to protect workers' health and wellbeing, and ensure the safety of the wider community."
3582/99,3582,99,Health and safety managers and officers n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 3582: Health and safety managers and officers 
4111/01,4111,01,National government benefits officers,"National government benefit officers undertake a variety of administrative and clerical duties in relation to benefit claims such as sickness, maternity, pensions, invalidity, unemployment and family benefits. They investigate the client's right to benefits by reviewing their case and researching relevant legislation. See also 3319/03 - Fraud investigators (excludes benefit fraud)"
4111/02,4111,02,National government revenue officers,"National government revenue officers are responsible for the calculation of taxation including income tax, corporation tax and national insurance contributions. They perform administrative duties work to ensure operations are correct and compliant with policies and that timely payment is made by individuals and organisations. See also 4129/04 - Revenue assistants (excludes National and Local government revenue occupations)"
4111/03,4111,03,Passport officers,Passport officers examine passport applications submitted by the customer through various routes. They confirm their identity and establish the nationality of the applicant.  They approve passport issue for those that meet legislative and policy requirements.
4111/99,4111,99,National government administrative occupations n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 4111: National government administrative occupations
4112/01,4112,01,Local government benefits officers,Local government benefits officers within local councils undertake a variety of administrative and clerical duties in relation to benefit claims. They investigate the client's right to benefits by reviewing their case and researching relevant legislation. See also 3319/03 - Fraud investigators (excludes benefit fraud)
4112/02,4112,02,Local government housing assistants,"Local government housing assistants within local councils provide support for all tenants and customers and deal with enquiries on a wide range of housing related issues including changes in tenancy, maintenance and payments."
4112/03,4112,03,Local government revenue officers,"Local government revenue officers work for local councils and deal with housing benefits, rents, council tax and business rates. See also 4129/04 - Revenue assistants (excludes National and Local government revenue occupations)"
4112/04,4112,04,Parish clerks,"Parish clerks advise the Council on and assist in the formation of overall policies to be followed in respect of the council's activities. They play a key role in in advising on governance, ethical and procedural matters."
4112/99,4112,99,Local government administrative occupations n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 4112: Local government administrative occupations
4113/01,4113,01,Charity administrators,"Charity administrators work for charities, voluntary and non-profit-making organisations on a variety of administrative activities, including communications, financial and human resources tasks."
4113/02,4113,02,Clerks to governors,"Clerks to governors are appointed by the governing body of a school. Their key role is to provide an administrative resource for the governors and to ensure the smooth running of its functions, processes and meetings."
4113/03,4113,03,Union officials ,"Union officials represent, train and advise union members. They may have secretariat responsibilities and carry out research and develop policy."
4113/99,4113,99,Officers of non-governmental organisations n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 4113: Officers of non-governmental organisations
4121/00,4121,00,Credit controllers,"Credit controllers perform financial, administrative and other tasks in relation to credit control and debt collection."
4122/01,4122,01,Accounting clerks and bookkeepers ,"Accounting clerks and bookkeepers process invoices and payments. They can both be responsible for generating financial reports that the company may need to conduct certain business. They record and assemble the day-to-day financial transactions of an organisation or company, consisting usually of sales, purchases, payments and receipts. See also 2421/02 - Financial accountants (qualified)"
4122/02,4122,02,Payroll officers and wages clerks,"Payroll Officers and wages clerks ensure employees of a company are paid the right amount on time. Their duties include auditing and verifying timekeeping records, managing deductions and overtime and ensuring salary payments comply with law."
4122/99,4122,99,"Bookkeepers, payroll managers and wage clerks n.e.c.","Job holders in this group perform occupations not elsewhere classified in Unit Group 4122: Bookkeepers, payroll managers and wage clerks. "
4123/01,4123,01,Bank and building society clerks,"Bank and building society clerks deal with the payment and receipt of money, cheques and other routine financial transactions and open and close accounts. They advise upon financial products and services offered by banks and building societies."
4123/02,4123,02,Post office clerks,Post office clerks sell products and services at a post office. They assist customers with picking up and sending mail. Post office clerks may also sell financial products such as insurance and foreign currency.
4123/99,4123,99,Bank and post office clerks n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 4123: Bank and post office clerks
4124/00,4124,00,Finance officers,"Finance officers oversee book-keeping, general accounting and other financial and related clerical functions mainly within local government and a variety of public sector organisations."
4129/01,4129,01,Box office assistants,"Box office assistants sell tickets for all events such as sporting, cultural and leisure activities. They may provide customers with information on offers."
4129/02,4129,02,Grants officers,"Grants officers assess applications for grants and funding from charitable trusts, government or public bodies. They prepare the paperwork such as grant applications and are responsible for ensuring that the grant recipient spends the money according to the agreed terms."
4129/03,4129,03,Mortgage administrators,Mortgage administrators progress mortgage applications from clients to legal completion. They liaise with mortgage advisers to ensure appraisal on the progress of mortgage cases and resolve any queries clients may have.
4129/04,4129,04,Revenue assistants (excludes National and Local government revenue occupations),"Revenue assistants work for organisations in a variety of tasks, to include the production of bills for processing, ensure that sales are recorded accurately, resolve billing queries and undertake general administrative tasks.  See also 4111/02 - National government revenue officers and 4112/03 - Local government revenue officers"
4129/05,4129,05,Treasury assistants,"Treasury assistants are responsible for carrying out daily treasury activities including cash management, administration and assisting the senior treasury officers with a range of tasks and projects."
4129/99,4129,99,Finance administrative occupations n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 4129: Finance administrative occupations n.e.c.
4131/01,4131,01,Admissions officers,"Admissions officers co-ordinate the admission of patients in hospitals and evaluate applications from prospective students interested in attending a college, university, or other educational institution."
4131/02,4131,02,Court officers,"Court officers work in courtrooms to enforce laws and courtroom regulations during a trial. They perform duties like calling witnesses, handling items of evidence that are produced in court and keep witnesses and jurors informed of the proceedings."
4131/03,4131,03,Enumerators,"Enumerators perform interviews and fill in forms to collect the data provided by interviewees. They can collect information by phone, mail, personal visits or on the street. "
4131/04,4131,04,Examinations officers,"Examinations officers support schools and colleges in the administration, management and conducting of examinations. "
4131/05,4131,05,Indexers (excludes bookbinding),"Indexers build up lists of searchable terms for things like books, magazines, reports, websites and photographic collections. They identify words and phrases in the text, record where they occur and put them in alphabetical order, identify the main topics and break them down into sections and cross-reference related topics. See also 5423/00 - Print finishing and binding workers"
4131/06,4131,06,Medical administrators and appointment clerks,"Medical administrators and appointment clerks perform a wide range of administrative tasks. They deal with enquiries, organise patient records and process electronic and hard copy information. They are responsible for booking appointments for patients."
4131/07,4131,07,Purchasing administrators,"Purchasing administrators provide general administration and customer service support. Their duties include purchasing, pricing, processing of sales, stock control and inventory management."
